rank,username,puzzles_since_tracking,puzzles_total_now,puzzle_rating_now,puzzle_rating_progress,avg_bullet_blitz_rapid,storm_best_score,racer_best_score,first_seen,last_seen
126,bleichkind,-1939,73,2567,,2551.7,,,2026-03-24,2026-03-24
127,musketier,-1958,125,2326,,1849.3,,,2026-03-24,2026-03-24
128,sven_lesche,-1992,173,2378,,1985.3,,,2026-03-24,2026-03-24
129,bmw24,-2067,148,2359,,2101.3,,,2026-03-24,2026-03-24
130,schachlp,-2097,68,2256,,1997.0,,,2026-03-24,2026-03-24
131,chessrpv,-2150,200,2008,,2095.0,,,2026-03-24,2026-03-24
132,krake_1,-2185,191,2208,,1936.3,,,2026-03-24,2026-03-24
133,kanasa_3206,-2251,79,1465,,1170.3,,,2026-03-24,2026-03-24
134,sutsuj,-2287,64,2650,,2347.7,,,2026-03-24,2026-03-24
135,markimaus,-2307,137,2808,,2251.7,,,2026-03-24,2026-03-24
136,maryam_88,-2311,117,978,,654.3,,,2026-03-24,2026-03-24
137,chessmasterm_liebig,-2614,81,2001,,2034.0,,,2026-03-24,2026-03-24
138,feanorscurse,-2741,70,2123,,2017.3,,,2026-03-24,2026-03-24
139,broetchen,-2770,161,2540,,2753.7,,,2026-03-24,2026-03-24
140,mainspringer,-2953,63,2143,,2131.3,,,2026-03-24,2026-03-24
141,zijuk,-2996,104,2818,,2514.7,,,2026-03-24,2026-03-24
142,logicer,-3089,209,2542,,2288.7,,,2026-03-24,2026-03-24
143,schattenkrieger,-3224,100,2302,,2080.0,,,2026-03-24,2026-03-24
144,thomas_xiaoteng,-3364,141,3003,,1831.3,,,2026-03-24,2026-03-24
145,don99999,-3570,79,2140,,2086.7,,,2026-03-24,2026-03-24
146,master_chen,-3815,126,2390,,2094.0,,,2026-03-24,2026-03-24
147,sarvesh_kesavan,-4059,133,2007,,1703.3,,,2026-03-24,2026-03-24
148,elinawill,-4795,157,2025,,1279.7,,,2026-03-24,2026-03-24
149,adhav_shanmu_2013,-4848,106,1936,,1613.0,,,2026-03-24,2026-03-24
150,redalpaca,-5255,173,1864,,1538.3,,,2026-03-24,2026-03-24
151,rank_raiser,-5261,81,2324,,2230.3,,,2026-03-24,2026-03-24
152,clairewerk,-5550,89,2373,,2250.0,,,2026-03-24,2026-03-24
153,jp-chessfan,-5753,191,2037,,1793.3,,,2026-03-24,2026-03-24
154,bossbaby1502,-5946,62,1683,,1458.7,,,2026-03-24,2026-03-24
155,emiko00,-6204,150,1651,,1722.7,,,2026-03-24,2026-03-24
156,kyonoah,-7056,117,2015,,1316.0,,,2026-03-24,2026-03-24
157,ganjaguyover9000,-7393,87,2165,,2257.7,,,2026-03-24,2026-03-24
158,sepas_zargaran,-7883,137,2156,,1600.7,,,2026-03-24,2026-03-24
159,sandoulov,-8661,65,2055,,1945.0,,,2026-03-24,2026-03-24
160,sunkang,-15255,72,2184,,2164.7,,,2026-03-24,2026-03-24
161,jonny03,-15951,105,2841,,2477.0,,,2026-03-24,2026-03-24
162,wblodw,-40536,92,2474,,2512.3,,,2026-03-24,2026-03-24
